index,Job Title,Salary Estimate,Company Name,Description,Location
0,Jr. Data Scientist,,ClimateAI5.0 ★,"Culture
At ClimateAi we are driven by a united passion to tackle climate change. We believe in a culture of absolute truth and transparency, where feedback is considered an opportunity for us to contribute to each other's personal and professional growth. We recognize the value of diversity and are an equal-opportunity employer.
We hire people who are collaborative, adaptable, communicate well, and love to learn. Expect to give and receive constructive criticism, as we are constantly seeking to push the innovation frontier while simultaneously growing as individuals and as a team.
What you’ll do
Develop and implement advanced methodologies based on state-of-the-art data science techniques and climate variability and change science to prepare custom/tailored deliveries to support customers on key decisions.







Show more
Report",United States
1,"Data Scientist I, Risk Analytics","$137,825",Oscar Health3.4 ★,"Hi, we're Oscar. We're hiring a Data Scientist I, Risk Analytics to join our Data team.
Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.
About the Role:
As a Data Scientist I, Risk Analytics, you will work closely with the actuarial team, value capture team and other data scientists to help develop data pipelines, models, reports and analytics to improve Oscar's risk adjustment processes.
You will report into a Director of Data Science.
Work Location:
Oscar is a blended work culture where everyone, regardless of work type or location, feels connected to their teammates, our culture and our mission. This is a hybrid role in our New York City office. You will work part of the time in the office and part of the time remote / work-from-home. #LI-Hybrid
Show more
Report","New York, NY"
2,Data Scientist,"$132,367",National Security Agency3.7 ★,"At NSA Data Science is a broad field, and a team effort, spanning all the expertise needed to derive value from data. As a Data Scientist, you will uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority challenges. Responsibilities include: - Exploring data analysis and model-fitting to reveal data features of interest - Using the machine-learned predictive modeling - Constructing usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations
Show more
Report","Fort Meade, MD"
3,Jr. Data Scientist,"$95,607",Resolution Life3.0 ★,"As part of the application process, a candidate account is required to log in and view application(s). Please be sure to check email regularly for information regarding our employment process.
Critical Skills
At Resolution Life, we have identified the following critical skills which are key to success in our culture:
Customer Focused: Passionate drive to delight our customers and offer unique solutions that deliver on their expectations.
Critical Thinking: Thoughtful process of analyzing data and problem solving data to reach a well-reasoned solution.
Team Mentality: Partnering effectively to drive our culture and execute on our common goals.
Show more
Report","West Chester, PA"
4,Data Scientist,"$145,000",Distributed Solar Development4.1 ★,"DSD (Distributed Solar Development) is a renewable energy development company focused on changing the calculus for energy consumers that want to own their clean energy supply. We engineer and operate onsite solar and battery storage systems for Fortune 500 brands, municipalities and provide community distributed generation solar to thousands of subscribers across the country.

We are primarily an infrastructure financing company, our deals are complex, requiring multiple sources of capital and structuring. We see the multitude of financial, engineering and customer load data as being incredibly valuable. Building clean energy infrastructure is difficult, and our experience is pushing us to develop software solutions. These solutions must create efficiencies in our operational and transaction processes in a relentless drive to lower the cost of clean energy for our customers. We must optimize the efficacy of our processes to reach the scale and growth needed to positively impact climate change.






Show more
Report","New York, NY"
5,Data Scientist,"$175,000",Neuberger Berman4.2 ★,"Summary:
We are looking for a junior- to mid-level hands-on Data Scientist to work on large-scale data analytic capabilities and extract insights from structured and unstructured data. The primary focus will be in applying/developing data mining, machine learning and statistical techniques, conducting R&D on data science-integrated investment insights, and building high quality data-driven research and investment. This person will regularly engage in deep scientific research. Experience in text analytics and other unstructured data is plus; and previous experience of applying data science in equity research and the financial industry is also a plus.
Responsibilities:
Evaluate and analyze structured and unstructured data sets and R&D data-driven solutions and insights
The salary range for this role is $150,000-$200,000. This is the lowest to highest salary we in good faith believe we would pay for this role at the time of this posting. We may ultimately pay more or less than the posted range, and the range may be modified in the future. This range is only applicable for jobs to be performed in New York City. An employee’s pay position within the salary range will be based on several factors including, but limited to, relevant education, qualifications, certifications, experience, skills, seniority, geographic location, performance, shift, travel requirements, sales or revenue-based metrics, any collective bargaining agreements, and business or organizational needs. This job is also eligible for a discretionary bonus. We offer a comprehensive package of benefits including paid time off, medical/dental/vision insurance, 401(k), life insurance and other benefits to eligible employees.
Show more
Report","New York, NY"
6,Data Scientist,"$124,960",Combined Insurance3.4 ★,"This position offers the opportunity to leverage the entire spectrum of analytics tools towards solving a wide variety of business problems. The focus is on applying a combination of industry standard practices and innovative ideas using structured and unstructured data from multiple sources and applying AI, machine learning and statistical techniques to build, evaluate and implement models. Our team focus’ on creating analytical solutions that solve real world business problems for all lines of business. Analytics empowered technology platforms are changing the way we operationalize model outputs at Chubb. This role will work closely with engineering teams to deploy models as APIs into various cutting-edge platforms. This is a great opportunity to create analytic solutions for multiple lines of business, deepening your insurance product knowledge.
Responsibilities
Show more
Report","Philadelphia, PA"
7,Data Scientist,$37.00,Veear Projects Inc.4.0 ★,"Bachelor's Degree and 3 or more years of data analytics experience or Master’s Degree with 0-3 years data analytics experience
Knowledge of SQL, SAS, R and/or Python
Experience in analyzing structured and unstructured data sets for business insights
Experience in creating dashboards, projections, models, and presentations to support business
Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions
Capable of making decisions regarding own work methods, occasionally in ambiguous situations
Show more
Report",Remote
8,Data Scientist,"$116,200",TriNet3.8 ★,"TriNet is a leading provider of comprehensive human resources solutions for small to midsize businesses (SMBs). We enhance business productivity by enabling our clients to outsource their HR function to one strategic partner and allowing them to focus on operating and growing their core businesses. Our full-service HR solutions include features such as payroll processing, human capital consulting, employment law compliance and employee benefits, including health insurance, retirement plans and workers’ compensation insurance.

TriNet has a nationwide presence and an experienced executive team. Our stock is publicly traded on the NYSE under the ticker symbol TNET. If you’re passionate about innovation and making an impact on the large SMB market, come join us as we power our clients’ business success with extraordinary HR.




The Data Scientist is responsible for supporting data science initiatives that drive business profitability, change the business opportunities and improved customer experience. This role will work closely with stakeholders to understand the problem they are trying to solve, establish hypotheses, gather and transform relevant data, build algorithmic prediction and forecasting models and deploy to production. The data scientist will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.


United States








Show more
Report",Remote
9,Data Scientist,,CAI,"Job Profile Summary:
CAI is hiring!
CAI is seeking an experienced Data Scientist who has experience with PeopleSoft Financials System, Oracle Database, management reporting, KPI, dashboard design, generating queries, design reports, and help identify workflows to improve processing of financial transactions. This is a hybrid contract opportunity for a major client in Indianapolis, Indiana.
*Only local candidates to the Indianapolis, Indiana area will be considered*
We are seeking a highly motivated, and detail-oriented IT professional to join our team. seeking a resource that is proficient in the PeopleSoft Financials system to generate reports and create management reporting with the resulting data. The candidate will have the opportunity to work with the latest technology, long-term stability, and great work/life balance!
Responsibilities and Duties:
Resource will generate queries, design reports, and help identify workflows within People Soft to improve processing of financial transactions. This may include A/P and Purchasing approval timelines, employee volume of work, or tracking invoice dates before the PO date, or contract process timeline to include where the process is held for approval. Reports will enhance finance management oversight of work in process and to identify problems to be addressed. These reports will also help with division management and identify activity outside expectations. Reports will allow communication with program areas to know where their contract request are in progress, and activity of invoice processing outside of expected timelines.
Qualifications
Education and Experience:
Experience with PeopleSoft Financials system- Required 6 Months
Experience generating queries, design reports, and help identify workflows to improve processing of financial transactions- Required 1 Years
Oracle database experience- Required 1 Years
Experience in management reporting, KPI, dashboard design- Required 1 Years
Skills
Outstanding organizational skills
Good analytical skills
Strong written and verbal communication skills
Well organized with the ability to manage multiple priorities.
Solid interpersonal skills, ability to work on a team.
Ability to drive work to completion and escalate when necessary.
Physical Demands
Ability to safely and successfully perform the essential job functions consistent with the ADA and other federal, state and local standards.
Sedentary work that involves sitting or remaining stationary most of the time with occasional need to move around the office to attend meetings, etc.
Ability to conduct repetitive tasks on a computer, utilizing a mouse, keyboard and monitor.
Reasonable Accommodation Statement: If you require a reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employment selection process, please direct your inquiries to (888) 824 – 8111.
This email is only intended for candidates who need an accommodation or assistance completing the application or interview process and will not be reviewed by CAI’s talent acquisition team. All interested applicants who do not need an accommodation or assistance completing the application must apply on CAI’s career portal for consideration https://www.cai.io/careers/career-portal/
EEO Statement: It is the policy of Computer Aid, Inc.(CAI) not to discriminate against any employee or applicant for employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran. It is also the policy of CAI to take affirmative action to employ and to advance in employment, all persons regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or protected veteran status, and to base all employment decisions only on valid job requirements. This policy shall apply to all employment actions, including but not limited to recruitment, hiring, upgrading, promotion, transfer, demotion, layoff, recall, termination, rates of pay or other forms of compensation and selection for training, including apprenticeship, at all levels of employment.
Employees and applicants of CAI will not be subject to harassment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran. Additionally, retaliation, including intimidation, threats, or coercion, because an employee or applicant has objected to discrimination, engaged or may engage in filing a complaint, assisted in a review, investigation, or hearing or have otherwise sought to obtain their legal rights under any Federal, State, or local EEO law is prohibited.
Job Types: Contract, Full-time
Pay: $1.00 - $2.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Vision insurance
Schedule:
Monday to Friday
Work Location: In person
Report","Indianapolis, IN"
