site,role,job_level,company_name,location,job_description,salary_range,min_salary,max_salary
indeed,conflicts analyst assistant,,hogan lovells,johannesburg gauteng,keen become part truly global collaborative team professionals journey begins summary position responsible assisting conflicts analyst conflicts supervisor members new business conflicts compliance department us illp well firm administration research identification resolution conflicts interest issues related firm new business incoming attorneys various special interest initiatives job description essential duties responsibilities assist identification potential conflicts interest corporate conflicts database research client matter information provided firm partners well incoming candidates minimal conflicts analysis lowrisk clearance review become proficient understanding utilization conflicts interest database including maintenance update conflicts database research corporate history clients parties related former new client work respond lawyers business services employees requests perform conflicts interest searches assist conflicts manager supervisor analysts resolution clearance complex conflict interest issues assist head compliance conflicts director conflicts head cdd compliance conflicts managers supervisors analysts wide range research requests projects become key contributor ongoing process improvement sanctions inquiries analyzing sanctions hits potential clients related parties outlining critical issues conflicts analyst review conflicts database integrity extremely accurate corporate research contribute suggestions research procedures assist duties related resolving clearing conflicts interest issues assigned qualifications required skills proven ability maintain utmost confidentiality highly sensitive matters must possess strong analytical skills know dive deep naturally curious desire understand excellent written verbal communication skills strict attention detail highly selfdriven sense motivation ability willingness work fastpaced challenging environment must data entry skills strong knowledge microsoft office suite education certifications andor experience year degree required bachelors degree strongly preferred previous experience customer servicerelated position internship preferred proven experience performing database academic research experience handling multiple projects adhering deadlines,,nan,nan
indeed,analyst property finance corporate,,nedbank,johannesburg gauteng,job purpose assist executing implementing transactions targeted clients bank related lending structured transactions property finance corporate team job responsibilities assist preparation credit papers applications memos updates reviews conducting historical financial analysis financial modelling debt scoping related commentary industry competitor analysis sanctions screening assist review legal documents cross referencing approved terms draft legal agreements ensure incorporation commercial terms legal documents support building maintaining external stakeholder relationships setting meetings behalf associates principals drafting list requirements clients taking notes relevant forums build maintain internal stakeholder relationships liaising collaborating relevant stakeholders facilitating sign relevant transactions ensure completion highquality credit papers within specified timelines planning scheduling researching gathering information managing time reviewing work preparing advance support effective execution transactions applying skills modelling researching analysing investment proposals meet performance targets executing transactions collaboration internal external stakeholders support achievement business strategy objectives values reviewing nedbank business unit plan preferred qualification certifications relevant honours degree casa cfa essential qualifications nqf level bachelors degree finance accounting property studies equivalent minimum experience level years property lending sector experience investment banking similar industry type exposure identify developing ways minimize risks assisting stakeholders obtain buyin concepts ideas sharing information different ways increase stakeholders understanding brainstorming ways improving product situation challenging status quo view improving environment peoples understanding understanding stakeholder needs working group identify alternative solutions problem analysing interpreting quantitative qualitative data managing multiple transactions identifying trends technical professional knowledge business principles business terms definitions governance risk controls microsoft office relevant regulatory knowledge business writing skills cluster specific operational knowledge presentation skills oral written communication techniques industry trend behavioural competencies building partnerships collaborating customer focus initiating action work standards managing work technicalprofessional knowledge skills employment equity statement preference given individuals underrepresented groups please contact nedbank recruiting team,,nan,nan
indeed,finance business analyst,,momentum investments,centurion gauteng,introduction clientfacing brands metropolitan momentum multiply wellness rewards programme specialist brands including guardrisk eris property group group enables business people walks life achieve financial goals life aspirations help people grow savings protect matters invest future help companies organisations care reward employees members network advisers via independent brokers utilising new platforms momentum metropolitan provides practical financial solutions people communities businesses visit us wwwmomentummetropolitancoza role purpose support finance business analysis improvement redesign core support business processes current state assessments postimplementation support order deliver improvement efficiency high levels standardization straightthrough processing defined exception management ideal candidate subject matter expert working experience certain areas including finance systems financial accounting system migrations data insights regulatory financial reporting process improvement order support drive related reporting process help hisher peers team requirements relevant degree finance accounting equivalent minimum years experience linked investmentsfinancial services provider environment years business analysis experience andor process improvement experience business analyst process improvement specialist finance professional experience process improvement experience working agile software development environment demonstrable experience working multiple stakeholders obtain understanding business processes demonstrable ability operate independent efficient effective chaotic high transaction volume sometimes extremely complex environment knowledge business process mapping systems visio blueprint standard systems microsoft word powerpoint duties responsibilities gathering requirements responsible detailed business analysis stakeholder engagement via workshop facilitation meetings research interviews elicit understand business requirements major finance related projects change requests gain apply understanding business operate future domains ambition operate conduct thorough analysis proposed technology solutions using investigative informationgathering skills highlight impact solutions business processes systems collaborating cross functional teams including professionals business analysts finance professionals deliver effective solutionsy data analysis ability write interpret data queries analise large data sets understand granular detail part analysis phase subsequent solution invention process ability use tools like qliview powerbi excel sql databases etc analyse data develop solutions process improvement create visual representations current future processes helping identify areas improvement optimisation conducting professional process workshops business technology stakeholders gather information identify risks identifying developing implementing necessary process improvements key initiatives creating implementing process metrics reports control points track monitor measure projects implemented proactively identifying carrying root cause analysis problem logically accurately map business process steps according defined standards maintain existing refinery processes documentation collaborating stakeholders ensure achievement project goals driving process adoption compliance finance end users keeping systematic approach coordinating managing process system change definitions implementations application industry related methodologies frameworks design thinking contribute project planning risk mitigation scope management key initiatives projects involved problem solving identify address business problems challenges proposing effective solutions support finance solutions architect understand impact change initiatives specific outcomes independently deliver outcomes participate design financial systems applications ensuring align business goals technical requirements feasibility analysis assess feasibility proposed projects solutions considering factors like cost resources technical constraints support business identify mitigate risks associated financial systems processes required exchange control legislative requirements testing validation support user acceptance testing creating training material change management assist managing organisational change result implementation new processes systems including training support continuous improvement monitor evaluate performance implemented solutions recommending adjustments improvements needed diagnosing issues identifying opportunities creating added value within current finance process improve efficiencies reviewing assigned business processes identify address operational financial technology risk competencies must affinity data detailed orientated ability start finish tasks strong planning organisational skills ability influence motivate challenge clear articulate communication investigative information gathering skills ability work fastpaced environment prioritise varied workload strong written verbal communication skills interrogate business needs effectively document communicate solutions range stakeholders,,nan,nan
indeed,data analyst,,panagora group,remote in pretoria gauteng,job information projectactivity usaidsouth africa tss industry usaid city pretoria stateprovince gauteng country south africa highest level education tertiary level degree work experience years job description data analyst consultancy pretoria south africa remote panagora group small business providing novel integrated solutions global health international development goal provide innovative solutions build national capacity promote sustainability robust local participation capacity building utilizing highly integrated private sector solutions throughout work embrace virtuous circle knowledge stewardship collaborative learning application evidence heighten accelerate positive health development outcomes background technical support services tss activity helps usaidsouth africa regional health office rho address technical priorities develop creative innovative solutions strategically allocate resources strengthen connections partners replicate best practices effective program models tss contract panagora group augments capacity providing technical operational administrative support usaids largest health portfolio tss deploys advisors response usaid requests priority work government stakeholders implementing partners andor entities tss supports health office staff teams integrate creative solutions routine work tss also provides international local expertise surge support needed usaid program cycle requirements planning development outreach communications health office human resource functions description position panagora seeks data analyst join tss strategic information si team data analyst provides technical expertise panagora southern africa usaid andor implementing partners support conceptualization design running interpretation analytics creation innovative visualization products improve utilization available data monitor program performance effectively communicate successes challenges ultimately transform available data visualizations information continuous datadriven programmatic action also mine large complex datasets provide expertise data infrastructure data schemas tools processes guidelines data products requirements tertiary level degree public health epidemiology biostatistics statistics equivalent degree approximately years experience applying epidemiological statistical concepts public healthrelated data analysis preferably hiv art tb data advantageous tableau skills required fluency data visualizations software powerbi qlikview google data studio advanced powerpoint similar business intelligence tools preferred experience working usaid andor pepfar programs reporting requirements proficiency excel r experience data analytic programs stata andor spss advantageous strong mathematics critical thinking skills necessary exposure predictive analytics machine learning artificial intelligence solutions advantageous excellent verbal written english language skills proven capacity take initiative willingness learn new skills needed strong work ethic ability work well independently part team duties responsibilities design conduct advanced complex analytics summarize present findings recommendations train mentor stakeholders data analytics use conduct preliminary review datasets integrity necessary transforming data sets rapidly conceptualize respond data requests variety stakeholders design define develop metrics run interpret analytics draw causal inferences generate recommendations support design development data visualization products support users understand results use information make programmatic decisions support capacitation stakeholders use data visualization products support efforts improve data collection management analysis sharing demonstrates project outputs outcome impacts support development guidelines best practices related data science analytics conduct capacity development training key stakeholders support research development new si products solutions reports senior clinical cascade strategic information advisor team lead apply fill online application please include cover letter resume applications without cover letter considered telephone inquiries please finalists contacted applicants include required application components considered panagora group equal opportunity employer prohibits discrimination harassment type without regard race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity expression characteristic protected federal state local laws note panagora offer visa sponsorship time panagora group equal opportunity employer discriminate basis race ethnicity religion sex national origin age veteran disability genetic information reason prohibited law employment,,nan,nan
indeed,technical test analyst migration,,sabenza it,south africa,technical test analyst migration centurion gauteng south africa unlock door innovation technical test specialist centurion lookout dynamic individual passion data migration flair precision thrive ensuring seamless transitions love diving intricacies testing role gateway making meaningful impact world technology join us shaping future data migration excellence qualifications experience knowledge skills minimum diploma technology degree bsc preferred qualifications preferred testing qualification istqbiseb minimum years investment testing experience required minimum years experience testing exposure diverse projects using variety testing tools techniques must strong knowledge manual testing tools must sql knowledge integration testing skills must experience agile work environment sql must data understanding testing data fields working big data understanding data means lot automation testing mostly manual investments banking experience apply job,,nan,nan
indeed,sales analyst,,latitude resource,johannesburg gauteng,established retail product business looking employ sales analyst join team permanent basis based bedfordview johannesburg person responsible compiling analysing sales data providing valuable feedback actionable insights order guide sales activities successful sales analyst able analyse large amounts data accurately project sales trends identify sales opportunities provide practical guidance optimise sales strategies responsibilities compile present updated sales info relevant dept hods business md rep customer brand sales ytd calendar financial mor reports sales director rep salesbrand salestop customers top skus calendar financial etc customer sales vs previous yr vs budget rsms track customer reviews rsms various sales analysis reports requested repsagentsrsmsmarketingcustomersoperations develop maintain customer internal data reviews zero rated sales report sap order closures rebate sales reports ssa reports commissionincentive reports sales forecast tracking reports operations rolling sales forecasts stock reports sales analysis coordination tasks required time time skills required experience sales analysis strong research data analysis skills proficiency microsoft office sap software strong communication presentation skills projection forecasting skills ability work independently crossfunctional teams salary rk rkmonth dependent skills experience apply ensure meet requirements complete requested information remember attach cv application made receive generic email confirm receipt application shortlisted candidates contacted contacted consultant within weeks please consider application unsuccessful,19318.08 - 25757.4,19318.08,25757.4
indeed,data analyst,,takealot group,cape town western cape,takealotcom leading south african online retailer looking highly talented data analyst join team cape town young dynamic hyper growth company looking smart creative hard working people integrity join us offer market related total remuneration package allows full flexibility according needs great work environment promise wont bored long prepared challenge want build something great responsibilities include following lead requirements elicitation workshops stakeholders define high level business requirements operational reporting improve business performance assist stakeholders prioritize requirements obtain signoff specifications mine data insights test validate hypotheses operational customer behavior influence roadmap presentation databased recommendations develop operational reports run reports support measurement key performance indicators prepare exceptionbased reporting drive implementation business improvement ideas validate existing reports data sets resolves issues reports performance indicators identified develop clear understanding operational intricacies behaviors identify improvement opportunities levers improve key metrics create effective data visualizations communicate insights updates management product team generate regular reports operational performance provide insights recommendations business analyse success effectiveness process changes facilitate performance improvement various teams within business identifying operational gaps must performed testing analysis recommendation process changes attributes required solutionsoriented cando attitude high energy strong analytical critical thinking using data inform decisions ability identify areas improvement current processes ability use logic common sense arrive conclusions passion understanding ambiguous complex problems driving high quality innovative clean solutions highly structured thinker strong attention detail ability handle multiple competing priorities fastpaced environment must exceptional communication skills help deliver insights diverse stakeholders detail oriented outcome process focused willingness learn personal desire keep date technology process comfortable change excellent team player qualifications experience bachelors degree engineering information systems bcom computer science similar degree years experience data engineering product management role within fastpaced productled growthfocused organisation playing key role data gathering data analysis helping team make data based decisions relevant higher certificate years experience data engineering role within fastpaced productled growthfocused organisation playing key role data gathering data analysis helping team make data based decisions strong handson experience sql google bigquery aws google data studio python automation cron scheduling custom rd party software scheduling high level proficiency ms office packages proven advanced proficiency excel google sheets docs slides experience large datasets optimisation digital platforms retail ecommerce supply chain industry experience beneficial environment com employees entrepreneurial dynamic smart customercentric fun shared ambition takealotcom leading ecommerce company africa fun work hard take ownership work teams create solutions always open direct feedbacknew ideas improve short ego high output doers thinkers execution love creating seek employ extra ordinary mind forthright respectful expert design also execute analytical able use data make decisions competitive selfdirected strive best great requires lot work happen business hours passionate potential ecommerce delivering worldclass customer experience entrepreneurial thrives change accepts constant always looks solutions something better faster able think problems business perspective using technical product input curious challenge status quo innovative enjoys iteration collaborative cutting edge developing new concepts takealotcom thinks like owner business smart integrity hardworking meet extraordinary mind come join us takealot equal opportunity employer applicants previously disadvantaged groups people disabilities given preference,,nan,nan
indeed,results analyst,,totalenergies,johannesburg gauteng,pays afrique du sud lieu de travail johannesburgbiermann avzaf socit employeur totalenergies marketing south africa pty ltd domaine finance lieu south africa exprience minimum ans profil du candidat appuyez sur les touches espace ou entre pour alterner la visibilit de la section results analyst ideally possess following financial degree plus years related business experience accounting knowledge good personal computer skills excel particular knowledge total group reporting rules would preferable working knowledge sap finance modules fi co pca copa key competencies include good interpersonal skills ability work pressure meet deadlines analytical ability attention detail english working language activits appuyez sur les touches espace ou entre pour alterner la visibilit de la section results analyst responsible teh following activities tsa reporting results analysis provide company key performance indicators kpis monthly basis various reports mancom kpis finance business review board figures rsa reports might requested collating building accurate data meaningful comments extract compile data sap harmonie gr build monthly result reflect performance company business channels company channels visibly split consolidated one fixed costs provide meaningful accurate monthly opex reports business channels submitted total head office tsa management based sap relevant reportsdiscussions business ensure operating expenditures reporting sync general ledger department identifies accruals booked accounting making proper analysis costs ensure postings actual budget costs done correct account cost nature right materials chosen tl budget follow fixed costs per channel idu challenge business based actual analysis provide detailed analysis bpeana budget pack liaison business budget analyst prepare additional presentation related download slate volumes pricing team pca back functions maintain profit center accounting module sap tsa rsa nbe countries running updating assessment cycles support functions maintenance profit center hierarchy transfer price programs ensure dummy profit center cleared month end managing maintaining profitcost centres cost elements template light pca environment extract compile data pca reports build monthly result reflect performance company business channels flash res ensuring proper reconciliation management report general ledger monthly basis hseq provide reliable timely analysis management promote profitability culture across company maintain strict confidentiality regards information contexte et environnement appuyez sur les touches espace ou entre pour alterner la visibilit de la section multiple sources similar information match ensuring information relevant balances local statutory financial statements low profitability culture across organisation resulting poor variance analysis different business give best better energy make commitment total plus professions countries offer high safety environmental standards strong ethical values innovation culture wideranging career development part global team whose mission already shared employees make energy better every day,,nan,nan
indeed,data analyst  developer,,stonebridge hr solutions,johannesburg gauteng,position available bapsfontein area johannesburg data analyst developer areas close bapsfontein east rand pretoria east irene centurion requirements relevant tertiary qualification years experience excel expert python development microsoft problem solving skills responsibilities developing excel reporting analyse data developing python base programs assist data analysation assisting production planning assist planning data info require linking data various sources assist network cloud management please note shortlisted candidates contacted apply click apply button redirected another site heard us weeks please consider application unsuccessful,6439.32 - 9659.04,6439.32,9659.04
indeed,data analyst,,liebengroup,kraaifontein western cape,overall role function liebengroup continuous improvement team takes lead driving supporting implementation programs projects aimed continuously enhancing operational business processes align overarching business strategies role data analyst within organization crucial data analyst responsibility gather clean analyse data provide valuable insights guide business decisions expect data analyst bring technical expertise business ensuring high quality accuracy interpreted data role involve processing designing presenting data ways assist ci teams senior engineers internal business units clients making informed decisions working projectbasis allocated specific projects defined deliverables timelines operating intersection technology business strategy drive meaningful outcomes liebengroup role individuals passion analysing data aim generating operational tactical strategic insights collaboration business understanding key stakeholders responsibilities work projectbasis deliver defined milestones within specified timeline collaborate effectively senior engineers project managers support data cleaning visualization processes enabling extraction actionable insights align seamlessly project deliverables advanced ms office suite skills demonstrate expertise using data analytics tools sql python r dax gather data different sources analyse clean normalize raw data enhance usability accuracy help develop reports analysis visualize findings graphs charts maps visualizations tools draw actionable insights data analyse data draw actionable insights empowering informed decisionmaking processes within organization build analytical tools promote access data accelerate time insight qualifications experience bachelors degree information systems industrial engineering statistics minimum years experience data analyst logistics environment basic understanding transport operational business strong relationship building communication skills,,nan,nan
